#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 01 23 01 00  80  8.0 10.0    MM    MM    MM  MM 1018.7  23.9  23.8  19.0   MM -1.2    MM
2021 01 23 00 50  80  8.0 10.0   3.1    21   7.5 283 1018.8  23.9  23.8  19.2   MM   MM    MM
2021 01 23 00 40  80  8.0 10.0    MM    MM    MM  MM 1018.8  24.0  23.8  18.7   MM   MM    MM
2021 01 23 00 30  80  8.0 11.0    MM    MM    MM  MM 1018.8  23.9  23.8  18.7   MM   MM    MM
2021 01 23 00 20  80  9.0 11.0    MM    MM    MM  MM 1018.8  23.9  23.8  18.6   MM   MM    MM
2021 01 23 00 10  80  8.0 11.0    MM    MM    MM  MM 1018.7  23.9  23.8  18.5   MM   MM    MM
2021 01 23 00 00  90  9.0 11.0    MM    MM    MM  MM 1018.7  23.8  23.8  18.8   MM -1.7    MM
2021 01 22 23 50  90  9.0 11.0   2.8    15   6.9 319 1018.8  23.9  23.8  18.9   MM   MM    MM
2021 01 22 23 40  90  9.0 11.0   2.8    MM   6.9 319 1018.8  23.7  23.8  18.8   MM   MM    MM
2021 01 22 23 20  80  9.0 11.0    MM    MM    MM  MM 1019.2  23.7  23.8  18.9   MM   MM    MM
2021 01 22 23 10  80  8.0 11.0    MM    MM    MM  MM 1019.3  23.6  23.8  19.0   MM   MM    MM
2021 01 22 23 00  90  9.0 12.0    MM    MM    MM  MM 1019.4  23.7  23.8  18.8   MM -1.5    MM
2021 01 22 22 50  90 10.0 13.0   2.8     8   6.8  79 1019.6  23.8  23.8  18.7   MM   MM    MM
2021 01 22 22 40  90 11.0 13.0   2.8    MM   6.8  79 1019.6  23.9  23.8  18.7   MM   MM    MM
2021 01 22 22 30  90  9.0 12.0    MM    MM    MM  MM 1019.7  23.9    MM  19.0   MM   MM    MM
2021 01 22 22 20  90 10.0 14.0    MM    MM    MM  MM 1019.9  23.8  23.8  18.8   MM   MM    MM
2021 01 22 22 10  80 10.0 13.0    MM    MM    MM  MM 1020.0  24.0  23.8  18.6   MM   MM    MM
2021 01 22 22 00  80  9.0 11.0    MM    MM    MM  MM 1020.0  24.0  23.8  18.1   MM -0.4    MM
2021 01 22 21 50  80 10.0 13.0   2.6    15   6.5 322 1020.1  23.9  23.8  18.2   MM   MM    MM
2021 01 22 21 40  90 10.0 13.0   2.6    MM   6.5 322 1020.2  23.8  23.8  18.9   MM   MM    MM
2021 01 22 21 30  80 10.0 13.0    MM    MM    MM  MM 1020.3  23.8  23.8  19.0   MM   MM    MM
2021 01 22 21 20  90 10.0 12.0    MM    MM    MM  MM 1020.4  23.9  23.8  19.0   MM   MM    MM
2021 01 22 21 10  80 10.0 12.0    MM    MM    MM  MM 1020.4  23.9  23.8  18.6   MM   MM    MM
2021 01 22 21 00  90 10.0 13.0    MM    MM    MM  MM 1020.5  23.9  23.8  18.6   MM +0.0    MM
2021 01 22 20 50  80  9.0 11.0   2.7     8   6.8  80 1020.5  23.9  23.8  18.7   MM   MM    MM
2021 01 22 20 40  80  9.0 12.0   2.7    MM   6.8  80 1020.7  23.8  23.8  18.7   MM   MM    MM
2021 01 22 20 30  80  9.0 11.0    MM    MM    MM  MM 1020.8  23.7  23.7  18.6   MM   MM    MM
2021 01 22 20 20  80  9.0 11.0    MM    MM    MM  MM 1020.9  23.7  23.7  18.7   MM   MM    MM
2021 01 22 20 10  70  9.0 11.0    MM    MM    MM  MM 1020.9  23.6  23.7  18.5   MM   MM    MM
